year      month     day       hour      minute    name      
2014      11        08        08        33        ma        
2014      11        08        10        43        tang      
2014      11        08        12        58        ma        
2014      11        08        12        58        ma        
2014      11        08        12        58        ma        
2014      11        10        01        47        qiao      
2014      11        10        07        44        li        
2014      11        10        07        44        li        
2014      11        10        10        48        he        
2014      11        12        01        26        tang      
2014      11        12        01        26        tang      
2014      11        12        01        26        tang      
2014      11        12        01        49        li        
2014      11        12        02        32        tang      
2014      11        12        02        49        li        
2014      11        12        21        12        tang      
2014      11        12        21        15        ma        
2014      11        12        21        15        ma        
2014      11        12        21        15        ma        
2014      11        12        21        15        ma        
2014      11        12        21        15        ma        
2014      11        12        21        15        ma        
2014      11        12        21        16        tang      
2014      11        13        16        19        tang      
2014      11        13        16        21        tang      
2014      11        13        16        22        he        
2014      11        13        16        23        tang      
2014      11        13        16        24        he        
2014      11        13        16        25        tang      
2014      11        13        16        25        he        
2014      11        13        16        26        he        
2014      11        13        16        27        ma        
2014      11        13        16        27        tang      
2014      11        13        16        30        ma        
2014      11        13        16        30        ma        
2014      11        13        16        31        ma        
2014      11        13        16        31        tang      
2014      11        13        16        32        tang      
2014      11        13        16        32        tang      
2014      11        13        16        34        tang      
2014      11        13        16        35        tang      
2014      11        13        16        39        ma        
2014      11        13        16        39        tang      
2014      11        13        16        44        ma        
2014      11        13        16        44        ma        
2014      11        13        16        45        tang      
2014      11        13        16        45        ma        
2014      11        13        16        45        ma        
2014      11        13        16        45        tang      
2014      11        13        16        45        ma        
2014      11        13        16        45        ma        
2014      11        13        16        46        ma        
2014      11        13        16        46        ma        
2014      11        13        16        46        ma        
2014      11        13        16        47        ma        
2014      11        13        16        47        tang      
2014      11        13        16        50        ma        
2014      11        13        16        58        tang      
2014      11        13        17        10        yang      
2014      11        13        17        11        yang      
2014      11        13        17        11        yang      
2014      11        13        17        11        tang      
2014      11        13        17        14        yang      
2014      11        13        17        15        tang      
2014      11        13        17        17        yang      
2014      11        13        17        19        ma        
2014      11        13        20        21        luo       
2014      11        13        20        22        tang      
2014      11        13        20        23        luo       
2014      11        13        20        23        tang      
2014      11        13        20        24        he        
2014      11        13        20        24        luo       
2014      11        13        20        24        he        
2014      11        13        20        24        yang      
2014      11        13        20        24        tang      
2014      11        13        20        24        yang      
2014      11        13        20        24        he        
2014      11        13        20        25        luo       
2014      11        13        20        25        he        
2014      11        13        20        25        tang      
2014      11        13        20        25        he        
2014      11        13        20        25        luo       
2014      11        13        20        25        luo       
2014      11        13        20        26        yang      
2014      11        13        20        26        he        
2014      11        13        20        26        tang      
2014      11        13        20        26        yang      
2014      11        13        20        26        yang      
2014      11        13        20        26        yang      
2014      11        13        20        26        luo       
2014      11        13        20        26        he        
2014      11        13        20        26        tang      
2014      11        13        20        26        yang      
2014      11        13        20        27        yang      
2014      11        13        20        27        luo       
2014      11        13        20        27        yang      
2014      11        13        20        27        he        
2014      11        13        20        28        tang      
